GSM509553 GSM509554 GSM509555 GSM509558 GSM509547 GSM509548 GSM509549 GSM509550 GSM509551 GSM509552
200623_s_at 7.91624913799682 8.41854771718465 8.2179154513429 7.81726970949749 8.02282666875623 8.85971586754937 8.92256033168089 8.04167328196201 7.88382778337328 7.41938650136849
200626_s_at 7.2901483925422 7.43439607426796 7.78256560907674 6.7963008140036 7.30886690952332 7.52485303408704 7.76123143583787 7.67369170557278 7.30306747679567 7.05491327401058
200627_at 9.18304060451901 8.66331630872715 8.6429012998964 8.00798141211457 9.36733062886022 8.76377212302847 9.213515378977 8.60742661655311 8.30363822110974 8.29459555779092
200629_at 7.54587751681298 7.03055559609885 7.01401260875845 7.27810187994475 7.23270450615992 6.48578472278978 7.62154056022648 6.62356614077393 6.4170535774784 7.46963598810663
200631_s_at 9.01550129410738 9.30100611112755 9.39981004184015 8.91577395500732 8.53951315931324 9.10950757059038 9.22413980373422 9.22518340576447 9.28399534059501 9.2472904195116
200632_s_at 10.1081167577063 10.5869453885074 10.5206697287071 10.5940881455057 10.7345773825228 10.0915833324233 9.73436283524632 10.3248739930759 10.342265722171 10.6102569093056
200633_at 12.0360112009748 12.1387472510334 12.0921909738219 11.788087122316 12.2417296871976 12.1286959265406 12.8613277749785 12.0887539302118 11.9134228416881 11.7227855381539
200634_at 7.48014929031841 6.6814960311221 6.94869498552408 6.96118991257709 7.50623118929892 7.11806048505049 6.56097232918824 6.72362052280138 6.95334059850554 7.02482010489058
200636_s_at 7.33000102684456 7.53126518638889 7.528733777265 7.05931096921778 7.17869913285563 7.43187110376673 6.95226811527439 7.12169384801525 7.48817710762834 7.33507029220004
200640_at 7.3150342856428 7.82750375326403 8.04473236864862 7.36108987060384 7.75544769084413 8.35904480339928 8.35886157544729 8.25050694248854 7.31482166128848 7.70114123713977
200642_at 10.3936552690172 10.445118325266 10.4710110602696 9.50194046343241 10.1992991608278 10.6240348775625 11.2462996261117 10.3526150763751 9.84783916421405 10.0471674156457
200643_at 7.03939641932321 6.76597580783616 6.81694021585987 7.19170320906002 7.04088166729242 7.06925750744523 6.38752414792257 6.56110870886243 6.83258607044226 6.63760579617471
200644_at 10.1334511126842 10.5897299318291 11.0945341031936 10.9473185637502 11.166132805932 11.0236626227986 10.567049247242 11.0731018284146 11.1426988224838 10.6667316567087
200645_at 9.80279405926297 9.82577708605072 9.90759960182806 10.2204531860059 10.3953524401899 10.1997107260699 9.48301874590439 9.85732750675531 9.6249937358531 9.70305222467136
200649_at 7.65707855930434 7.2476298274913 7.25485102117947 7.29471358291147 7.84582963066181 7.31599344497312 6.59689910075978 7.1704911930852 7.49615544612001 7.57782546239542
200650_s_at 9.64075424976523 9.25043608748672 9.36448905424572 7.78798868143213 9.39316275424473 9.51154863178413 9.96135032991129 9.14610912575682 8.73314460878046 9.6300157078824
200651_at 9.80144014004117 9.15785774755817 9.47656382720615 9.33551266448053 9.38571104649756 9.31299079614896 8.52173079768121 9.20739724870633 9.01410188703882 9.39423901436395
200652_at 7.9538135003837 7.77510087773393 7.65841218052819 7.83044750517869 7.80509032957474 7.67902573206117 7.23367084324955 7.6246486658859 7.69407988607521 7.92485727942525
200655_s_at 10.0483885108847 9.86214909807139 9.80205184237694 9.39978723300518 9.49459649549766 9.45904371886932 9.56078597302769 9.52807431256678 9.76481434268726 9.60975777034469
200656_s_at 5.0205127648641 4.94355421329512 4.95781017102283 5.05885434320695 6.01571015185377 5.21332226536735 4.63495651304327 4.7993064969896 4.8227770107322 5.31461160615619
200657_at 9.07151638104544 9.42599159506253 9.22615013688009 8.54017811090593 8.86687048094086 9.18114070662046 9.59064301824556 8.86623328111451 8.89043483189892 9.38112411325939
